the_geom,geoname,geonum,pop,hispanic,white_nh,black_nh,ntvam_nh,asian_nh,hawpi_nh,other_nh,twoplus_nh,male,female,ageless5,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85pl,ageless18,age18_24,med_age,households,familyhh,nonfamhh,hhldralone,hhldr_naln,housing_un,occ_hu,vac_hu,owned,rented,pop25plus,nohsdipl,hsgrad_sc,bachl_hghr,med_hh_inc,med_fam_in,per_cap_in,med_yr_blt,med_c_rent,med_g_rent,med_hm_val,citz_birth,citz_nat,not_citz,born_in_co,brn_oth_st,ntv_b_o_us,foreign_b,pop_1p,same_house,same_cnty,same_state,diff_state,frm_abroad,wrkrs_16pl,car_all,car_alone,car_carpoo,public_trn,pt_bus,pt_other,bike,walk,tr_other,wrk_home,w_16pl_nh,t_less_10,t_10_19,t_20_29,t_30_39,t_40_59,t_60_pl,pop_3pl,enrolled,preschool,kndrgrtn,gr_1_4,gr_5_8,gr_9_12,undergrad,grad_prof,n_enrolled,blt_2010_p,b2000_2009,b1990_1999,b1980_1989,b1970_1979,b1960_1969,b1950_1959,b1940_1949,b1939_e,own_occ_hu,v_l_50k,v50k_100k,v100k_150k,v150k_200k,v200k_250k,v250k_300k,v300k_400k,v400k_500k,v500k_750k,v750k_1m,v_1m_plus,rnt_occ_hu,rntl400,r400t599,r600t799,r800t999,r1000t1249,r1250t1499,r1500t1999,r2000pl,rnocshr,ps_uni,ps_below,ps_bel150,tot_l18,puni_65pl,pov_l18,pov_65pl,avghhsize,hhi_l20k,hhi20_30,hhi30_40,hhi40_50,hhi50_60,hhi60_75,hhi75_100,hhi100_125,hhi125_150,hhi150_200,hhi200_pl,civ_ni_pop,disabled,pop16_pls,laborforce,civ_lf,emp,unemp,armedfrcs,not_lf,civ_ni_p
"MULTIPOLYGON (((-105.77139100000001 37.045725, -105.77030600000002 37.047197, -105.7675 37.047832, -105.766917 37.049033, -105.76788200000001 37.0512, -105.765253 37.054775, -105.764206 37.05572, -105.767724 37.060429, -105.77017100000002 37.061166, -105.770807 37.062526999999996, -105.770357 37.064403, -105.766688 37.066235, -105.765658 37.068475, -105.762724 37.073406, -105.761174 37.073976, -105.759667 37.077000000000005, -105.757013 37.078154999999995, -105.754404 37.082265, -105.753941 37.083521, -105.751304 37.086652, -105.750206 37.08708, -105.748454 37.088966, -105.747897 37.092391, -105.746064 37.095285, -105.742633 37.098763999999996, -105.74076400000001 37.101988, -105.741646 37.104064, -105.744305 37.104937, -105.74544000000002 37.106279, -105.749162 37.112172, -105.749781 37.114647, -105.749871 37.119679, -105.748724 37.122409999999995, -105.74779 37.128589999999996, -105.748183 37.133268, -105.748834 37.135000999999995, -105.748116 37.136641, -105.745758 37.140073, -105.744096 37.143491, -105.74062 37.145044999999996, -105.73413500000001 37.149888000000004, -105.73230000000001 37.153051, -105.73140400000001 37.156248999999995, -105.73225 37.159368, -105.734167 37.160997, -105.735835 37.163337, -105.736852 37.163700999999996, -105.73791 37.165254, -105.736789 37.168531, -105.736908 37.170715, -105.735142 37.172941, -105.73092300000002 37.176024999999996, -105.729746 37.179459, -105.729818 37.180676, -105.732235 37.184553, -105.732846 37.188221999999996, -105.734641 37.18962, -105.737336 37.189644, -105.738992 37.191486, -105.739001 37.194699, -105.736556 37.197173, -105.735977 37.199315, -105.736442 37.200219, -105.738271 37.200807, -105.739254 37.202779, -105.738011 37.203897999999995, -105.738641 37.206331999999996, -105.738343 37.207337, -105.739899 37.210549, -105.739552 37.211843, -105.741055 37.213328, -105.74425 37.214994, -105.745765 37.218131, -105.743593 37.221489, -105.743768 37.223548, -105.746045 37.226577, -105.746693 37.230367, -105.746054 37.231334, -105.741719 37.233912, -105.740778 37.236204, -105.740878 37.240925, -105.74383700000001 37.243939, -105.744228 37.246558, -105.746099 37.247774, -105.746219 37.248905, -105.745478 37.251044, -105.743523 37.253713999999995, -105.742782 37.255384, -105.740877 37.255353, -105.737579 37.257667, -105.736673 37.260141, -105.738779 37.263563, -105.737653 37.265546, -105.736185 37.266447, -105.732884 37.266376, -105.729677 37.271341, -105.723914 37.274611, -105.723532 37.275331, -105.72364700000001 37.277228, -105.725388 37.280075, -105.72528 37.281026, -105.728383 37.28367000000001, -105.72810200000002 37.28507, -105.726839 37.286283999999995, -105.724162 37.286353999999996, -105.721533 37.285201, -105.72009800000001 37.285846, -105.720538 37.288492999999995, -105.720495 37.291129, -105.722285 37.292414, -105.722278 37.294295, -105.723551 37.295154000000004, -105.725566 37.295502, -105.72784 37.298885, -105.72800000000001 37.301463, -105.729165 37.304871, -105.73157800000001 37.304528999999995, -105.732244 37.303111, -105.734563 37.302699, -105.735827 37.303849, -105.736677 37.305658, -105.738409 37.30676, -105.736566 37.308084, -105.736535 37.309567, -105.737902 37.310955, -105.737126 37.313274, -105.738193 37.314237999999996, -105.741102 37.314507, -105.742474 37.315894, -105.74161 37.317463, -105.739044 37.318155999999995, -105.738218 37.318857, -105.738935 37.320687, -105.743362 37.321943, -105.74584899999999 37.323861, -105.747587 37.327041, -105.74759399999999 37.329648999999996, -105.746827 37.331029, -105.75059 37.333601, -105.750715 37.335967, -105.749565 37.337652999999996, -105.749434 37.339048999999996, -105.75067300000002 37.34146, -105.75223 37.341951, -105.753278 37.344114, -105.75253000000001 37.345559, -105.748003 37.348023999999995, -105.747272 37.349239, -105.749326 37.349036, -105.749846 37.350878, -105.743339 37.356798, -105.623723 37.457585, -105.62203 37.459212, -105.603362 37.474125, -105.597019 37.480174999999996, -105.57549 37.497918999999996, -105.57287900000001 37.499897, -105.49631 37.563852, -105.497305 37.56686, -105.49606 37.57006, -105.494227 37.572173, -105.492783 37.572949, -105.490668 37.575462, -105.488341 37.576913999999995, -105.485516 37.577898999999995, -105.480954 37.578655, -105.478843 37.579876999999996, -105.475941 37.580629, -105.471447 37.581263, -105.46985500000001 37.58187100000001, -105.467275 37.584424, -105.464478 37.584609, -105.463321 37.585952, -105.460268 37.586729999999996, -105.454492 37.590483, -105.454528 37.593249, -105.455224 37.593914999999996, -105.452454 37.596197, -105.451302 37.598467, -105.44785 37.600252, -105.448172 37.602409, -105.445885 37.604507, -105.445044 37.607875, -105.442279 37.61185100000001, -105.43995 37.612187999999996, -105.438341 37.613288, -105.436021 37.613578, -105.431583 37.613386, -105.42851 37.613904999999995, -105.423507 37.61678, -105.420905 37.616718999999996, -105.416997 37.617413, -105.414911 37.615883000000004, -105.4084 37.618, -105.403256 37.615657, -105.400312 37.613414999999996, -105.399858 37.614238, -105.39615 37.616776, -105.393426 37.617095000000006, -105.391365 37.618355, -105.389669 37.621165999999995, -105.386551 37.626438, -105.384571 37.627604999999996, -105.380797 37.627953, -105.380729 37.628879999999995, -105.37841 37.631692, -105.37689 37.634451999999996, -105.373751 37.635791, -105.370809 37.638249, -105.370305 37.639396, -105.36824 37.638576, -105.364041 37.638453999999996, -105.36111500000001 37.636666, -105.356774 37.636721, -105.355034 37.636158, -105.35450900000001 37.637240999999996, -105.352021 37.638197, -105.34856 37.637758, -105.346955 37.641166, -105.345448 37.642024, -105.337151 37.642641, -105.334945 37.643265, -105.329542 37.642981, -105.327499 37.64434, -105.322289 37.646178, -105.318344 37.64880600000001, -105.315774 37.648154999999996, -105.313356 37.649716, -105.309844 37.650527, -105.30911700000001 37.653434, -105.303197 37.653085, -105.301801 37.653603, -105.297623 37.658142999999995, -105.295406 37.656797, -105.295587 37.654416, -105.294109 37.652826999999995, -105.29082 37.651547, -105.289697 37.650442, -105.287005 37.650953, -105.28492 37.645886, -105.28152000000001 37.645381, -105.278676 37.646352, -105.275994 37.645224, -105.272959 37.641005, -105.268304 37.640612, -105.26711 37.639871, -105.266939 37.638352999999995, -105.263509 37.639114, -105.259229 37.639569, -105.258146 37.640547, -105.255303 37.640257999999996, -105.253644 37.636739, -105.254465 37.633275999999995, -105.253797 37.631693999999996, -105.252199 37.630258999999995, -105.248764 37.629587, -105.245818 37.629956, -105.243362 37.629228999999995, -105.241566 37.623723999999996, -105.236594 37.621665, -105.235978 37.620773, -105.226145 37.620369, -105.22121600000001 37.621171, -105.220027 37.621919999999996, -105.219508 37.624238, -105.21579300000002 37.626380999999995, -105.214534 37.626425, -105.212119 37.623532, -105.205496 37.620627, -105.201507 37.619194, -105.194493 37.619664, -105.191726 37.619262, -105.18754900000002 37.619669, -105.184441 37.615984, -105.188569 37.615139, -105.189993 37.614103, -105.192617 37.61185100000001, -105.19286 37.610478, -105.195645 37.608939, -105.194832 37.607361999999995, -105.195409 37.604673, -105.19635000000001 37.603176, -105.195242 37.601424, -105.194095 37.601034999999996, -105.193363 37.598062999999996, -105.193237 37.592168, -105.196695 37.592754, -105.198752 37.594065, -105.202313 37.594788, -105.20377 37.594449, -105.205707 37.590809, -105.206701 37.58983, -105.2119 37.586089, -105.217157 37.584858, -105.218433 37.583496, -105.218333 37.582439, -105.21426 37.579727999999996, -105.21386 37.577883, -105.211681 37.577661, -105.207631 37.57524, -105.20531500000001 37.574261, -105.201616 37.574023, -105.19829700000001 37.571815, -105.196044 37.569866999999995, -105.19516 37.568106, -105.19351 37.566921, -105.193722 37.565515999999995, -105.19480899999999 37.564654999999995, -105.193062 37.56389000000001, -105.191886 37.562356, -105.188886 37.559478, -105.184017 37.555841, -105.183433 37.553835, -105.183885 37.552638, -105.182609 37.552127999999996, -105.179339 37.548676, -105.178352 37.546319, -105.182677 37.546781, -105.182953 37.544651, -105.182098 37.54258, -105.183788 37.540896, -105.182998 37.538198, -105.17984100000001 37.536125999999996, -105.177714 37.534104, -105.17708 37.530314, -105.177548 37.529727, -105.17638 37.526143999999995, -105.174656 37.525169, -105.173638 37.522998, -105.174334 37.51989, -105.172111 37.519031, -105.171558 37.518122, -105.172515 37.515606999999996, -105.17132 37.513245999999995, -105.174124 37.509299, -105.173385 37.505795000000006, -105.174283 37.502514, -105.172483 37.49922, -105.177479 37.491682999999995, -105.177465 37.490821, -105.175716 37.489526, -105.174493 37.486976, -105.17481599999999 37.485102, -105.176425 37.483408, -105.18010300000002 37.481578999999996, -105.182196 37.479211, -105.18047 37.478681, -105.176683 37.475594, -105.176685 37.472612999999996, -105.17597 37.470259, -105.175001 37.465288, -105.173468 37.461096, -105.175535 37.456528, -105.171427 37.455363, -105.169581 37.456140999999995, -105.168034 37.456027999999996, -105.16450700000001 37.454599, -105.162531 37.454764999999995, -105.159185 37.457114, -105.156185 37.45709, -105.154433 37.453554, -105.15218899999999 37.451554, -105.15098700000001 37.447061, -105.149562 37.443182, -105.146824 37.441092, -105.145906 37.438587, -105.146461 37.436002, -105.14453400000001 37.433515, -105.143951 37.431737999999996, -105.144886 37.428965, -105.142214 37.429171, -105.140913 37.427918999999996, -105.141522 37.423656, -105.140695 37.421811, -105.140526 37.418129, -105.139416 37.415585, -105.138315 37.414234, -105.137127 37.413101999999995, -105.132652 37.411545, -105.130585 37.411654999999996, -105.12972 37.409254, -105.131256 37.406811999999995, -105.13266899999999 37.403605999999996, -105.138567 37.400690999999995, -105.142516 37.400946, -105.144998 37.400234999999995, -105.151324 37.400192, -105.156212 37.399229999999996, -105.158509 37.397109, -105.161433 37.393209, -105.162649 37.390302, -105.166765 37.388396, -105.167167 37.385836, -105.165317 37.381174, -105.168879 37.375637999999995, -105.168412 37.373669, -105.166758 37.372253, -105.165749 37.369823, -105.166457 37.365598000000006, -105.16890599999999 37.361514, -105.168668 37.360240999999995, -105.166976 37.358147, -105.168047 37.354693, -105.16598 37.352513, -105.166424 37.349888, -105.165869 37.347318, -105.164116 37.345216, -105.16405 37.343022, -105.165689 37.341508999999995, -105.167949 37.337030999999996, -105.16727700000001 37.334842, -105.165605 37.333529999999996, -105.163939 37.330968, -105.163096 37.328908999999996, -105.163523 37.327389, -105.16531499999999 37.325987999999995, -105.166692 37.323735, -105.166693 37.321208999999996, -105.165439 37.31678, -105.16691900000001 37.313792, -105.164938 37.308521, -105.164769 37.304431, -105.163393 37.299946, -105.165337 37.295228, -105.16519 37.293127, -105.165472 37.291241, -105.165221 37.290701999999996, -105.164559 37.289117, -105.157113 37.293034999999996, -105.154176 37.293129, -105.155042271642 36.9953391463601, -105.220613 36.995169, -105.251296 36.995605, -105.41931 36.995855999999996, -105.419386296718 36.9958564548338, -105.442459 36.995993999999996, -105.447255 36.996016999999995, -105.465182 36.995991, -105.508836 36.995895, -105.51248500000001 36.995777, -105.52232304595401 36.995821974973296, -105.533922 36.995875, -105.54803907229301 36.9958454221772, -105.62747 36.995678999999996, -105.66472 36.995874, -105.716471 36.995849, -105.718463007598 36.99584593031069, -105.718469674138 36.995845920037496, -105.7196 36.996728, -105.71802100000001 36.998968999999995, -105.718716 36.999871999999996, -105.722783 37.000792, -105.723354 37.002255, -105.723019 37.004053, -105.725984 37.005981999999996, -105.72670000000001 37.006859, -105.726572 37.008102, -105.723793 37.010779, -105.724705 37.013127, -105.727253 37.014786, -105.728471 37.014981999999996, -105.73152500000002 37.014057, -105.733886 37.014817, -105.737852 37.013923, -105.739118 37.01303, -105.741479 37.013675000000006, -105.746017 37.014185, -105.746516 37.01562, -105.745051 37.017162, -105.747189 37.01826, -105.749221 37.018021999999995, -105.750733 37.02136, -105.748977 37.023503, -105.749714 37.026668, -105.75195 37.027943, -105.754128 37.027614, -105.756703 37.026292, -105.760961 37.026147, -105.762101 37.027463, -105.765181 37.033172, -105.765767 37.034923, -105.768729 37.036453, -105.76879500000001 37.037603, -105.7664 37.040259999999996, -105.76710600000001 37.041475, -105.770593 37.041610999999996, -105.770525 37.044613, -105.77139100000001 37.045725)))",Costilla,108023,3628,2314,1164,13,2,54,0,0,81,1958,1670,171,195,174,221,217,149,186,119,123,221,253,327,318,320,238,215,88,93,665,313,51,1568,924,644,600,44,2788,1568,1220,1119,449,2650,587,1510,553,29000,34688,20737,1981,365,614,114200,3321,136,171,2152,1165,4,307,114225,98673,10338,3380,1532,302,1222,1079,905,174,0,0,0,0,53,0,90,1132,390,308,162,137,73,62,3496,650,32,24,147,143,191,104,9,2846,47,359,536,480,372,197,130,145,522,1119,159,299,234,131,101,116,41,9,2,0,27,449,92,48,116,27,23,0,6,0,137,3628,1073,1718,665,954,332,174,2.31,547,257,229,158,55,69,81,93,30,9,40,3628,1102,3039,1367,1367,1242,125,0,1672,3628
"MULTIPOLYGON (((-105.053289 39.856764, -105.053228 39.857110999999996, -105.053045 39.85816700000001, -105.053263 39.859948, -105.05285800000001 39.860727000000004, -105.053191 39.86362, -105.05323 39.869395, -105.053091 39.885356, -105.053036 39.892187, -105.053005 39.899806, -105.05296799999999 39.907049, -105.052892 39.914224, -105.034347 39.914181, -105.034383 39.917107, -105.034392 39.921155, -105.034395 39.921305, -105.02500300000001 39.92125, -105.023545 39.919225, -105.021552 39.919207, -105.021591 39.921367, -105.01546900000001 39.921402, -105.015539 39.925253, -105.015491 39.928543999999995, -105.015524 39.933420999999996, -105.015586 39.937276, -105.015657 39.943093, -105.015657 39.943131, -104.9971 39.943239, -104.997152 39.946771, -105.006265 39.946805, -105.006298 39.950438999999996, -105.012225 39.950446, -105.015039 39.951457, -105.01711700000001 39.952814, -105.015816 39.954864, -105.01568000000002 39.956665, -105.015653 39.957724, -105.015691 39.970437, -105.013423 39.970448, -105.013409 39.972265, -105.015722 39.972276, -105.015845 39.981193, -104.997423 39.981213, -104.99739800000002 39.97842, -104.999476 39.978415999999996, -104.998404 39.977585999999995, -104.998389 39.975805, -104.997379 39.975784999999995, -104.997118 39.968528, -104.988159 39.968466, -104.988108 39.972175, -104.997065 39.972149, -104.99708 39.973954, -104.99438 39.973953, -104.99441100000001 39.975803, -104.98811 39.975747, -104.98778400000002 39.975746, -104.987762 39.981533999999996, -104.987598 39.986619, -104.987594 39.987062, -104.987052 39.988529, -104.984723 39.992914, -104.981208 39.999499, -104.98094400000001 40.000325, -104.970849 40.000326, -104.961408 40.000336999999995, -104.959306 40.00033, -104.942531 40.000335, -104.941144 40.000335, -104.923315 40.000327999999996, -104.92215300000001 40.00033, -104.885967 40.000356, -104.867116 40.00037, -104.827414 40.000403000000006, -104.82665900000002 40.000403000000006, -104.821965 40.000412, -104.81695900000001 40.000420999999996, -104.81604800000001 40.000417999999996, -104.79705 40.000454, -104.771199 40.000451, -104.75762 40.000468, -104.753728 40.000471, -104.73073 40.000506, -104.725321 40.000509, -104.71621 40.000510999999996, -104.71475400000001 40.000510999999996, -104.713619 40.000507999999996, -104.706544 40.000506, -104.629424 40.000541999999996, -104.604649 40.000586999999996, -104.604064 40.00056, -104.489757 40.000613, -104.41463 40.000741999999995, -104.37683000000001 40.000738999999996, -104.207951 40.000831999999996, -104.150332 40.000856, -104.066944 40.001044, -104.037848 40.001054, -104.000505 40.001059, -103.980936 40.001143, -103.8661 40.001233, -103.864036 40.001475, -103.861985 40.001241, -103.791626 40.001308, -103.73346 40.001331, -103.729358 40.001218, -103.705701 40.001366, -103.705826 39.999984, -103.706546 39.769045, -103.706547 39.73989400000001, -103.972303 39.740401, -103.974341 39.739984, -103.97763600000002 39.740266999999996, -104.060078 39.73997, -104.096249 39.739846, -104.190677 39.73918, -104.209525 39.739018, -104.22712 39.738982, -104.227935 39.73898, -104.24705 39.738907999999995, -104.28382500000001 39.738745, -104.297964 39.738679999999995, -104.302586 39.738492, -104.30357 39.738515, -104.340209 39.73824700000001, -104.377229 39.738121, -104.37736 39.73812, -104.380113 39.738108, -104.39458600000002 39.73804, -104.414183 39.73807, -104.414664 39.73807300000001, -104.415289 39.738074, -104.420816 39.738085999999996, -104.43242 39.738116, -104.442784 39.738132, -104.470927 39.738198, -104.526958 39.738669, -104.582488 39.739636000000004, -104.602222 39.739878, -104.603078 39.739886999999996, -104.613603 39.739982000000005, -104.61619700000001 39.740004, -104.626398 39.740043, -104.632424 39.739501, -104.633384 39.739547, -104.634448 39.739594, -104.63534700000001 39.739630999999996, -104.640723 39.739886, -104.64293 39.739782, -104.652803 39.739778, -104.65995300000002 39.740477, -104.678305 39.739995, -104.715945 39.740271, -104.725637 39.740266999999996, -104.73195500000001 39.740822, -104.734834 39.740321, -104.734969 39.740302, -104.735396 39.740265, -104.745854 39.74024000000001, -104.763038 39.740251, -104.77247 39.740251, -104.780629 39.74026, -104.78742199999999 39.740266, -104.791128 39.740269, -104.791219 39.740269, -104.800625 39.740280999999996, -104.810022 39.740141, -104.810127 39.740141, -104.819416 39.740266, -104.82032 39.740297, -104.82545999999999 39.74029, -104.837603 39.740302, -104.84325400000002 39.740307, -104.847013 39.740206, -104.847091 39.740207, -104.851719 39.740206, -104.856413 39.740214, -104.858778 39.740207, -104.865803 39.7402, -104.875227 39.740212, -104.884646 39.740156, -104.884652 39.743807, -104.884664 39.747467, -104.880138 39.747428, -104.879901 39.754607, -104.877889 39.754728, -104.875192 39.754737999999996, -104.86594 39.75474, -104.85404 39.754709999999996, -104.84694 39.754687, -104.84823 39.756485, -104.85122 39.756982, -104.856431 39.758387, -104.856631 39.760286, -104.856523 39.768391, -104.837588 39.766873, -104.832961 39.766195, -104.833009 39.769177, -104.828323 39.769155999999995, -104.828029 39.771494, -104.828131 39.772371, -104.82822900000001 39.773174, -104.809879 39.773187, -104.781727 39.773387, -104.78181800000002 39.776485, -104.77215699999999 39.776409, -104.772166 39.771466, -104.76456 39.771598, -104.76457600000002 39.769391, -104.760799 39.769487, -104.753351 39.769487, -104.735816 39.769411999999996, -104.734601 39.769180999999996, -104.734601 39.769211, -104.734601 39.769268, -104.734581 39.774837999999995, -104.734534 39.781729999999996, -104.734519 39.782948999999995, -104.734399 39.798442, -104.762606 39.798432999999996, -104.762834 39.799878, -104.762658 39.80557400000001, -104.762901 39.813038, -104.76247 39.82298, -104.753084 39.823048, -104.716084 39.823207, -104.66627700000001 39.822849999999995, -104.666196 39.814005, -104.659123 39.814032999999995, -104.655455 39.814048, -104.655511 39.822469999999996, -104.640346 39.822553, -104.625566 39.822489999999995, -104.619938 39.822421, -104.619906 39.826633, -104.619841 39.873767, -104.605791 39.873827, -104.605853 39.882245, -104.600302 39.882289, -104.600435 39.899459, -104.60700300000002 39.899412999999996, -104.633969 39.899288999999996, -104.633858 39.906067, -104.64037 39.906241, -104.680213 39.906599, -104.680261 39.914246999999996, -104.692934 39.914183, -104.692606 39.906614, -104.705375 39.906417999999995, -104.70556800000001 39.898489999999995, -104.724103 39.898576999999996, -104.73155 39.898610999999995, -104.732138 39.845085999999995, -104.750513 39.845434000000004, -104.753063 39.845338999999996, -104.76227900000002 39.845389999999995, -104.762317 39.841788, -104.772186 39.841761, -104.786472 39.841792999999996, -104.790859 39.841802, -104.790895 39.79825100000001, -104.80969 39.798317, -104.82003800000001 39.79826, -104.827186 39.798216, -104.829131 39.798058999999995, -104.835498 39.798107, -104.847181 39.798235999999996, -104.866041 39.798386, -104.866075 39.812985999999995, -104.884585 39.812975, -104.884627 39.798321, -104.896191 39.798344, -104.896905 39.798364, -104.89693300000002 39.801159, -104.900394 39.801134999999995, -104.900452 39.798376999999995, -104.901405 39.798383, -104.903561 39.798390999999995, -104.903441 39.784036, -104.91157 39.783812, -104.912887 39.783818, -104.92227400000002 39.783775999999996, -104.927002 39.783778, -104.927034 39.791053999999995, -104.939882 39.790994, -104.940484 39.791919, -104.94047600000002 39.794601, -104.94965800000001 39.794686999999996, -104.955356 39.794686, -104.960268 39.790966, -104.968861 39.790974000000006, -104.96750400000002 39.793321999999996, -104.966889 39.793321, -104.966636 39.793836999999996, -104.96876500000002 39.793839999999996, -104.968716 39.798396, -104.973143 39.798292, -104.973243 39.796302, -104.972213 39.795564, -104.974847 39.79561, -104.974838 39.794226, -104.973245 39.794131, -104.973235 39.79247, -104.976057 39.792300999999995, -104.97595 39.791038, -104.988835 39.791086, -104.990809 39.792139, -104.993436 39.791185999999996, -104.996736 39.791086, -104.997789 39.791097, -104.998437 39.791185999999996, -105.00641600000002 39.791049, -105.015832 39.791072, -105.020787 39.791089, -105.021339 39.793983999999995, -105.025149 39.794003, -105.025109 39.790937, -105.030038 39.791086, -105.02998200000002 39.79188, -105.034642 39.791869999999996, -105.034618 39.791142, -105.053246 39.791063, -105.053164 39.799109, -105.053141 39.799427, -105.053102 39.799788, -105.052949 39.800436999999995, -105.05290500000001 39.800734, -105.052839 39.802535, -105.053256 39.806497, -105.05325 39.81277, -105.05327 39.820028, -105.053281 39.821858999999996, -105.05327199999999 39.823581999999995, -105.053262 39.827273, -105.053266 39.834527, -105.053257 39.840081999999995, -105.053236 39.841806999999996, -105.05321 39.845763, -105.053188 39.849649, -105.05290000000001 39.852042, -105.052847 39.853229, -105.05333900000001 39.855978, -105.053289 39.856764)))",Adams,108001,487850,191857,249239,14662,2382,18605,604,958,9543,245840,242010,36797,37842,38833,32199,31589,38575,40393,37510,33884,31647,30485,28318,22895,17682,11321,7990,5086,4804,134408,42852,33.4,162508,115202,47306,35654,11652,169275,162508,6767,105226,57282,310590,54006,184971,71613,64087,72332,27487,1985,1040,1172,241900,413382,23116,51352,256136,152849,4397,74468,18293,16576,964,605,126,22,242724,215608,188513,27095,9294,9015,279,542,2960,2108,12212,230512,16947,52627,52449,51144,36272,21073,465878,129656,7421,8200,29564,30705,29641,19814,4311,336222,6813,38889,28250,21113,30024,18460,19583,2844,3299,105226,8169,3337,7475,18109,18535,16222,19931,7278,4673,906,591,57282,1666,1588,6385,9689,12558,10284,10571,3163,1378,483246,59050,105607,132845,45866,21820,3906,2.98,17788,13701,15355,15206,13522,18880,24803,16843,9741,9810,6859,484371,51764,366838,260199,259810,246450,13360,389,106639,484371
