county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
BACA,SPRINGFIELD RE-4,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0,15.0,13.0,86.7,14.0,93.3,0.0,0.0,0.0,0.0,0.0,22.0,20.0,90.9,21.0,95.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
BACA,VILAS RE-5,7.0,3.0,42.9,3.0,42.9,1.0,1.0,100.0,1.0,100.0,53.0,10.0,18.9,18.0,34.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,3.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
BACA,CAMPO RE-6,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
BENT,LAS ANIMAS RE-1,10.0,5.0,50.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,72.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,73.3,11.0,73.3,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
BENT,MC CLAVE RE-2,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,14.0,13.0,92.9,13.0,92.9,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
BOULDER,ST VRAIN VALLEY RE 1J,118.0,61.0,51.7,63.0,53.4,171.0,110.0,64.3,112.0,65.5,587.0,403.0,68.7,412.0,70.2,10.0,7.0,70.0,7.0,70.0,5.0,1.0,20.0,1.0,20.0,87.0,54.0,62.1,56.0,64.4,171.0,170.0,99.4,170.0,99.4
BOULDER,BOULDER VALLEY RE 2,230.0,160.0,69.6,163.0,70.9,140.0,99.0,70.7,101.0,72.1,508.0,374.0,73.6,387.0,76.2,5.0,4.0,80.0,4.0,80.0,10.0,5.0,50.0,6.0,60.0,133.0,85.0,63.9,86.0,64.7,362.0,343.0,94.8,352.0,97.2
CHAFFEE,BUENA VISTA R-31,8.0,6.0,75.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,34.0,26.0,76.5,27.0,79.4,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0
CHAFFEE,SALIDA R-32,9.0,6.0,66.7,6.0,66.7,5.0,5.0,100.0,5.0,100.0,25.0,19.0,76.0,19.0,76.0,0.0,0.0,0.0,0.0,0.0,69.0,61.0,88.4,62.0,89.9,2.0,1.0,50.0,1.0,50.0,11.0,11.0,100.0,11.0,100.0
CHEYENNE,KIT CARSON R-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
